go_id	name	namespace	study_k	study_n	bg_K	bg_N	fold_enrichment	p_value	fdr	phenotype	genes
GO:0030425	dendrite	cellular_component	6	920	296	34266	0.75	8.088e-01	9.291e-01		LOC120034033,LOC120048723,LOC120056459,LOC120056868,apba2b,arhgap44a
GO:0007049	cell cycle	biological_process	15	920	677	34266	0.83	8.094e-01	9.291e-01		LOC120018348,LOC120026064,LOC120031076,LOC120031673,LOC120031999,LOC120034119,LOC120036153,LOC120036343,LOC120036510,LOC120039569,LOC120042781,LOC120043099,cntln,ndel1b,rad54b
GO:0098798	mitochondrial protein-containing complex	cellular_component	3	920	161	34266	0.69	8.100e-01	9.291e-01		LOC120034543,LOC120046306,LOC120056966
GO:0044093	positive regulation of molecular function	biological_process	11	920	511	34266	0.8	8.106e-01	9.291e-01		LOC120028901,LOC120032526,LOC120033963,LOC120034506,LOC120034531,LOC120036844,LOC120041011,LOC120041291,LOC120043430,LOC120051648,arhgap44a
GO:0032101	regulation of response to external stimulus	biological_process	5	920	253	34266	0.74	8.120e-01	9.293e-01		LOC120024769,LOC120047299,LOC120049292,LOC120050571,LOC120065853
GO:0009887	animal organ morphogenesis	biological_process	4	920	208	34266	0.72	8.124e-01	9.293e-01		LOC120023180,LOC120033014,LOC120040282,LOC120043662
GO:0006575	modified amino acid metabolic process	biological_process	3	920	162	34266	0.69	8.133e-01	9.294e-01		LOC120024893,LOC120033335,LOC120034531
GO:0016788	hydrolase activity, acting on ester bonds	molecular_function	23	920	1007	34266	0.85	8.140e-01	9.294e-01		LOC120017426,LOC120017954,LOC120028326,LOC120028888,LOC120029007,LOC120031120,LOC120031456,LOC120031461,LOC120032639,LOC120034099,LOC120034927,LOC120038688,LOC120040125,LOC120040983,LOC120041602,LOC120046458,LOC120047620,LOC120047622,LOC120048714,LOC120050538,LOC120051447,LOC120052651,timm50
GO:0004843	cysteine-type deubiquitinase activity	molecular_function	3	920	163	34266	0.69	8.166e-01	9.306e-01		LOC120031117,LOC120032422,LOC120037120
GO:0003002	regionalization	biological_process	3	920	163	34266	0.69	8.166e-01	9.306e-01		LOC120023180,LOC120040282,aida
GO:0010608	post-transcriptional regulation of gene expression	biological_process	5	920	256	34266	0.73	8.199e-01	9.320e-01		LOC120031686,LOC120032877,LOC120043430,LOC120044165,LOC120049361
GO:0019953	sexual reproduction	biological_process	5	920	256	34266	0.73	8.199e-01	9.320e-01		LOC120031076,LOC120031673,LOC120042401,LOC120043638,rad54b
GO:0007169	cell surface receptor protein tyrosine kinase signaling pathway	biological_process	9	920	431	34266	0.78	8.202e-01	9.320e-01		LOC120023180,LOC120032526,LOC120032586,LOC120033253,LOC120036154,LOC120039573,LOC120041392,LOC120048816,LOC120053918
GO:0050776	regulation of immune response	biological_process	4	920	211	34266	0.71	8.210e-01	9.320e-01	Y	LOC120022365,LOC120022366,LOC120035113,LOC120049292
GO:0046474	glycerophospholipid biosynthetic process	biological_process	3	920	165	34266	0.68	8.229e-01	9.334e-01	Y	LOC120020464,LOC120034531,LOC120041464
GO:0010629	negative regulation of gene expression	biological_process	6	920	303	34266	0.74	8.257e-01	9.341e-01		LOC120032877,LOC120034240,LOC120042479,LOC120043430,LOC120044165,LOC120049361
GO:0072659	protein localization to plasma membrane	biological_process	3	920	166	34266	0.67	8.260e-01	9.341e-01		LOC120032586,LOC120048677,arhgap44a
GO:0050778	positive regulation of immune response	biological_process	3	920	166	34266	0.67	8.260e-01	9.341e-01	Y	LOC120022365,LOC120022366,LOC120049292
GO:0031399	regulation of protein modification process	biological_process	9	920	435	34266	0.77	8.281e-01	9.341e-01		LOC120023180,LOC120028326,LOC120030768,LOC120032526,LOC120034531,LOC120036154,LOC120039573,LOC120041291,LOC120048363
GO:0043484	regulation of RNA splicing	biological_process	3	920	167	34266	0.67	8.291e-01	9.341e-01		LOC120030979,LOC120033308,LOC120062138
GO:0006629	lipid metabolic process	biological_process	24	920	1059	34266	0.84	8.292e-01	9.341e-01	Y	LOC120020464,LOC120024893,LOC120028326,LOC120031120,LOC120031445,LOC120033335,LOC120033928,LOC120034531,LOC120035040,LOC120035180,LOC120035602,LOC120039518,LOC120040125,LOC120040629,LOC120041464,LOC120041644,LOC120041848,LOC120043465,LOC120044600,LOC120047620,LOC120047622,LOC120048861,LOC120052142,LOC120056868
GO:0005912	adherens junction	cellular_component	4	920	214	34266	0.7	8.292e-01	9.341e-01		LOC120033099,LOC120036151,LOC120052362,cdh17
GO:0043547	positive regulation of GTPase activity	biological_process	5	920	260	34266	0.72	8.300e-01	9.341e-01		LOC120028901,LOC120034506,LOC120036844,LOC120041011,arhgap44a
